director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined,Combined1
Brian De Palma,Nicolas Cage,Mike Starr,English,USA,Crime Mystery Thriller,snake eyes,Brian De Palma Nicolas Cage Mike Starr Crime Mystery Thriller snake eyes,snake eyes English Crime Mystery Thriller
Barry Levinson,Peter Coyote,James Pickens Jr.,English,USA,Drama Mystery Sci-Fi Thriller,sphere,Barry Levinson Peter Coyote James Pickens Jr. Drama Mystery Sci-Fi Thriller sphere,sphere English Drama Mystery Sci-Fi Thriller
Clay Kaytis,Peter Dinklage,Josh Gad,English,USA,Action Animation Comedy Family,the angry birds movie,Clay Kaytis Peter Dinklage Josh Gad Action Animation Comedy Family the angry birds movie,the angry birds movie English Action Animation Comedy Family
Andy Tennant,Matthew McConaughey,Ray Winstone,English,USA,Action Adventure Comedy Romance Thriller,fool's gold,Andy Tennant Matthew McConaughey Ray Winstone Action Adventure Comedy Romance Thriller fool's gold,fool's gold English Action Adventure Comedy Romance Thriller
Judd Apatow,Adam Sandler,RZA,English,USA,Comedy Drama,funny people,Judd Apatow Adam Sandler RZA Comedy Drama funny people,funny people English Comedy Drama
Peter Berg,Jennifer Garner,Frances Fisher,English,USA,Action Drama Thriller,the kingdom,Peter Berg Jennifer Garner Frances Fisher Action Drama Thriller the kingdom,the kingdom English Action Drama Thriller
Adam McKay,Will Ferrell,Leslie Bibb,English,USA,Action Comedy Sport,talladega nights: the ballad of ricky bobby,Adam McKay Will Ferrell Leslie Bibb Action Comedy Sport talladega nights: the ballad of ricky bobby,talladega nights: the ballad of ricky bobby English Action Comedy Sport
Steve Carr,Raven-Symoné,Jeffrey Jones,English,USA,Comedy Family Fantasy,dr. dolittle 2,Steve Carr Raven-Symoné Jeffrey Jones Comedy Family Fantasy dr. dolittle 2,dr. dolittle 2 English Comedy Family Fantasy
Mel Gibson,Mhairi Calvey,Patrick McGoohan,English,USA,Biography Drama History War,braveheart,Mel Gibson Mhairi Calvey Patrick McGoohan Biography Drama History War braveheart,braveheart English Biography Drama History War
Sam Mendes,Jake Gyllenhaal,Brian Geraghty,English,Germany,Action Drama War,jarhead,Sam Mendes Jake Gyllenhaal Brian Geraghty Action Drama War jarhead,jarhead English Action Drama War
David Silverman,Albert Brooks,Yeardley Smith,English,USA,Adventure Animation Comedy,the simpsons movie,David Silverman Albert Brooks Yeardley Smith Adventure Animation Comedy the simpsons movie,the simpsons movie English Adventure Animation Comedy
Frank Darabont,Martin Landau,Hal Holbrook,English,USA,Drama Romance,the majestic,Frank Darabont Martin Landau Hal Holbrook Drama Romance the majestic,the majestic English Drama Romance
