director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined,Combined1
David Sington,John F. Kennedy,Buzz Aldrin,English,UK,Documentary History,in the shadow of the moon,David Sington John F. Kennedy Buzz Aldrin Documentary History in the shadow of the moon,in the shadow of the moon English Documentary History
Kelly Reichardt,Bruce Greenwood,Zoe Kazan,English,USA,Drama Western,meek's cutoff,Kelly Reichardt Bruce Greenwood Zoe Kazan Drama Western meek's cutoff,meek's cutoff English Drama Western
Fenton Bailey,Hugh M. Hefner,Bill Maher,English,USA,Biography Documentary History,inside deep throat,Fenton Bailey Hugh M. Hefner Bill Maher Biography Documentary History inside deep throat,inside deep throat English Biography Documentary History
Bob Giraldi,Danny Aiello,Manny Perez,English,USA,Crime Drama Romance,dinner rush,Bob Giraldi Danny Aiello Manny Perez Crime Drama Romance dinner rush,dinner rush English Crime Drama Romance
Jill Sprecher,Alanna Ubach,Bob Balaban,English,UK,Comedy Drama,clockwatchers,Jill Sprecher Alanna Ubach Bob Balaban Comedy Drama clockwatchers,clockwatchers English Comedy Drama
Huck Botko,Matt Bennett,Krysta Rodriguez,English,USA,Comedy,the virginity hit,Huck Botko Matt Bennett Krysta Rodriguez Comedy the virginity hit,the virginity hit English Comedy
Luc Besson,Christopher Lambert,Isabelle Adjani,French,France,Comedy Drama Thriller,subway,Luc Besson Christopher Lambert Isabelle Adjani Comedy Drama Thriller subway,subway French Comedy Drama Thriller
David Duchovny,Robin Williams,Mark Margolis,English,USA,Comedy Drama,house of d,David Duchovny Robin Williams Mark Margolis Comedy Drama house of d,house of d English Comedy Drama
Mitchell Lichtenstein,Jess Weixler,Nathan Parsons,English,USA,Comedy Fantasy Horror Thriller,teeth,Mitchell Lichtenstein Jess Weixler Nathan Parsons Comedy Fantasy Horror Thriller teeth,teeth English Comedy Fantasy Horror Thriller
Lance Mungia,Jeffrey Falcon,Stephane Gauger,English,USA,Action Adventure Comedy Drama Music Sci-Fi,six-string samurai,Lance Mungia Jeffrey Falcon Stephane Gauger Action Adventure Comedy Drama Music Sci-Fi six-string samurai,six-string samurai English Action Adventure Comedy Drama Music Sci-Fi
Kundan Shah,Karisma Kapoor,Bobby Deol,Hindi,India,Action Comedy Romance Thriller,hum to mohabbat karega,Kundan Shah Karisma Kapoor Bobby Deol Action Comedy Romance Thriller hum to mohabbat karega,hum to mohabbat karega Hindi Action Comedy Romance Thriller
Michael Dowse,Paul Kaye,Neil Maskell,English,UK,Biography Comedy Drama Music,it's all gone pete tong,Michael Dowse Paul Kaye Neil Maskell Biography Comedy Drama Music it's all gone pete tong,it's all gone pete tong English Biography Comedy Drama Music
Hue Rhodes,Peter Dinklage,Steve Buscemi,English,USA,Comedy Drama,saint john of las vegas,Hue Rhodes Peter Dinklage Steve Buscemi Comedy Drama saint john of las vegas,saint john of las vegas English Comedy Drama
Shane Meadows,Bob Hoskins,Annette Badland,English,UK,Comedy Drama Romance Sport,24 7: twenty four seven,Shane Meadows Bob Hoskins Annette Badland Comedy Drama Romance Sport 24 7: twenty four seven,24 7: twenty four seven English Comedy Drama Romance Sport
Roland Emmerich,Jeremy Irvine,Caleb Landry Jones,English,USA,Drama,stonewall,Roland Emmerich Jeremy Irvine Caleb Landry Jones Drama stonewall,stonewall English Drama
unknown,Joe Morton,Colin Ferguson,English,USA,Comedy Drama Sci-Fi,eureka            ,unknown Joe Morton Colin Ferguson Comedy Drama Sci-Fi eureka            ,eureka             English Comedy Drama Sci-Fi
Jugal Hansraj,Saif Ali Khan,Sanjay Mishra,Hindi,India,Animation Comedy Family Romance,roadside romeo,Jugal Hansraj Saif Ali Khan Sanjay Mishra Animation Comedy Family Romance roadside romeo,roadside romeo Hindi Animation Comedy Family Romance
Danny Provenzano,Vincent Pastore,Frank Vincent,English,USA,Crime Drama,this thing of ours,Danny Provenzano Vincent Pastore Frank Vincent Crime Drama this thing of ours,this thing of ours English Crime Drama
Bill Muir,Alex Kendrick,Jansen Panettiere,English,Thailand,Adventure Family Fantasy,the lost medallion: the adventures of billy stone,Bill Muir Alex Kendrick Jansen Panettiere Adventure Family Fantasy the lost medallion: the adventures of billy stone,the lost medallion: the adventures of billy stone English Adventure Family Fantasy
Richard LaGravenese,Anna Kendrick,Jeremy Jordan,English,USA,Comedy Drama Musical Romance,the last five years,Richard LaGravenese Anna Kendrick Jeremy Jordan Comedy Drama Musical Romance the last five years,the last five years English Comedy Drama Musical Romance
Noah Buschel,Merritt Wever,Amy Ryan,English,USA,Drama,the missing person,Noah Buschel Merritt Wever Amy Ryan Drama the missing person,the missing person English Drama
Brian Yuzna,Melinda Clarke,Kent McCord,English,USA,Horror Romance Sci-Fi,return of the living dead iii,Brian Yuzna Melinda Clarke Kent McCord Horror Romance Sci-Fi return of the living dead iii,return of the living dead iii English Horror Romance Sci-Fi
Hunter Richards,Jason Statham,Chris Evans,English,UK,Drama Romance,london,Hunter Richards Jason Statham Chris Evans Drama Romance london,london English Drama Romance
Laurie Collyer,Brad William Henke,Kate Burton,English,USA,Drama,sherrybaby,Laurie Collyer Brad William Henke Kate Burton Drama sherrybaby,sherrybaby English Drama
Bruce McCulloch,Martin Starr,Megan Mullally,English,USA,Comedy Crime,stealing harvard,Bruce McCulloch Martin Starr Megan Mullally Comedy Crime stealing harvard,stealing harvard English Comedy Crime
Aaron Hann,Jordi Vilasuso,Michael McLafferty,English,USA,Drama Horror Mystery Sci-Fi Thriller,circle,Aaron Hann Jordi Vilasuso Michael McLafferty Drama Horror Mystery Sci-Fi Thriller circle,circle English Drama Horror Mystery Sci-Fi Thriller
James Watkins,Michael Fassbender,Jack O'Connell,English,UK,Horror Thriller,eden lake,James Watkins Michael Fassbender Jack O'Connell Horror Thriller eden lake,eden lake English Horror Thriller
Catherine Hardwicke,Frances Fisher,James Kyson,English,USA,Thriller,plush,Catherine Hardwicke Frances Fisher James Kyson Thriller plush,plush English Thriller
Phil Claydon,MyAnna Buring,James Corden,English,UK,Action Comedy Fantasy Horror,vampire killers,Phil Claydon MyAnna Buring James Corden Action Comedy Fantasy Horror vampire killers,vampire killers English Action Comedy Fantasy Horror
Ralph Ziman,Rapulana Seiphemo,Kenneth Nkosi,English,South Africa,Action Crime Drama,gangster's paradise: jerusalema,Ralph Ziman Rapulana Seiphemo Kenneth Nkosi Action Crime Drama gangster's paradise: jerusalema,gangster's paradise: jerusalema English Action Crime Drama
John Simpson,Colin Salmon,Lee Evans,English,UK,Crime Drama Thriller,freeze frame,John Simpson Colin Salmon Lee Evans Crime Drama Thriller freeze frame,freeze frame English Crime Drama Thriller
Colin Minihan,Mackenzie Gray,Sean Rogerson,English,Canada,Horror,grave encounters,Colin Minihan Mackenzie Gray Sean Rogerson Horror grave encounters,grave encounters English Horror
Conor McMahon,Peter McQuinn,Tommy Knight,English,Ireland,Comedy Horror,stitches,Conor McMahon Peter McQuinn Tommy Knight Comedy Horror stitches,stitches English Comedy Horror
Chris Shadley,Daniel Baldwin,William Lee Scott,English,USA,Crime Drama Horror Mystery Thriller,nine dead,Chris Shadley Daniel Baldwin William Lee Scott Crime Drama Horror Mystery Thriller nine dead,nine dead English Crime Drama Horror Mystery Thriller
Simon Napier-Bell,Alice Cooper,Tim Rice,English,UK,Documentary,"to be frank, sinatra at 100","Simon Napier-Bell Alice Cooper Tim Rice Documentary to be frank, sinatra at 100","to be frank, sinatra at 100 English Documentary"
Woody Allen,Woody Allen,Charlotte Rae,English,USA,Comedy,bananas,Woody Allen Woody Allen Charlotte Rae Comedy bananas,bananas English Comedy
Simon Yin,Paul Sheehan,Linus Roache,English,USA,Thriller,supercapitalist,Simon Yin Paul Sheehan Linus Roache Thriller supercapitalist,supercapitalist English Thriller
Jeff Crook,Nicholas Gonzalez,Mario Cimarro,English,USA,Action Crime Drama Thriller,rockaway,Jeff Crook Nicholas Gonzalez Mario Cimarro Action Crime Drama Thriller rockaway,rockaway English Action Crime Drama Thriller
unknown,Steven Weber,Tim Daly,English,USA,Comedy Drama,wings            ,unknown Steven Weber Tim Daly Comedy Drama wings            ,wings             English Comedy Drama
Orson Welles,Rita Hayworth,Everett Sloane,English,USA,Crime Drama Film-Noir Mystery Thriller,the lady from shanghai,Orson Welles Rita Hayworth Everett Sloane Crime Drama Film-Noir Mystery Thriller the lady from shanghai,the lady from shanghai English Crime Drama Film-Noir Mystery Thriller
Dave Payne,Mircea Monroe,Lew Temple,English,USA,Horror Thriller,no man's land: the rise of reeker,Dave Payne Mircea Monroe Lew Temple Horror Thriller no man's land: the rise of reeker,no man's land: the rise of reeker English Horror Thriller
James Cox,Jake Gyllenhaal,M.C. Gainey,English,USA,Crime Drama,highway,James Cox Jake Gyllenhaal M.C. Gainey Crime Drama highway,highway English Crime Drama
Jonas Åkerlund,Noel Gugliemi,Saffron Burrows,English,USA,Comedy Crime Drama,small apartments,Jonas Åkerlund Noel Gugliemi Saffron Burrows Comedy Crime Drama small apartments,small apartments English Comedy Crime Drama
Brad Copeland,Sunil Narkar,Ben Schwartz,English,USA,Comedy,coffee town,Brad Copeland Sunil Narkar Ben Schwartz Comedy coffee town,coffee town English Comedy
Paul Bunnell,Kate Maberly,Kevin McCarthy,English,USA,Comedy Fantasy Musical Sci-Fi,the ghastly love of johnny x,Paul Bunnell Kate Maberly Kevin McCarthy Comedy Fantasy Musical Sci-Fi the ghastly love of johnny x,the ghastly love of johnny x English Comedy Fantasy Musical Sci-Fi
Phil Morrison,Sally Hawkins,Curtiss Cook,English,USA,Comedy Drama,all is bright,Phil Morrison Sally Hawkins Curtiss Cook Comedy Drama all is bright,all is bright English Comedy Drama
Harald Reinl,Christopher Lee,Lex Barker,German,West Germany,Horror Mystery,the torture chamber of dr. sadism,Harald Reinl Christopher Lee Lex Barker Horror Mystery the torture chamber of dr. sadism,the torture chamber of dr. sadism German Horror Mystery
James Cox,Jon Mack,Powers Boothe,English,USA,Comedy Drama,straight a's,James Cox Jon Mack Powers Boothe Comedy Drama straight a's,straight a's English Comedy Drama
Richard Lester,Buster Keaton,Zero Mostel,English,USA,Comedy Musical,a funny thing happened on the way to the forum,Richard Lester Buster Keaton Zero Mostel Comedy Musical a funny thing happened on the way to the forum,a funny thing happened on the way to the forum English Comedy Musical
Michael Moore,Michael Moore,Eddie Vedder,English,USA,Documentary,slacker uprising,Michael Moore Michael Moore Eddie Vedder Documentary slacker uprising,slacker uprising English Documentary
Tanner Beard,William McNamara,Kevin Alejandro,English,USA,Action Adventure History Western,the legend of hell's gate: an american conspiracy,Tanner Beard William McNamara Kevin Alejandro Action Adventure History Western the legend of hell's gate: an american conspiracy,the legend of hell's gate: an american conspiracy English Action Adventure History Western
Scott Dow,Trenton Rostedt,Wray Crawford,English,USA,Comedy Horror,the walking deceased,Scott Dow Trenton Rostedt Wray Crawford Comedy Horror the walking deceased,the walking deceased English Comedy Horror
Derick Martini,Kevin Zegers,Bella Heathcote,English,USA,Drama Horror Mystery Thriller,the curse of downers grove,Derick Martini Kevin Zegers Bella Heathcote Drama Horror Mystery Thriller the curse of downers grove,the curse of downers grove English Drama Horror Mystery Thriller
Jerry Dugan,Melissa Bolona,Michael Aaron Milligan,English,USA,Thriller,shark lake,Jerry Dugan Melissa Bolona Michael Aaron Milligan Thriller shark lake,shark lake English Thriller
Tim Hunter,Keanu Reeves,Daniel Roebuck,English,USA,Crime Drama,river's edge,Tim Hunter Keanu Reeves Daniel Roebuck Crime Drama river's edge,river's edge English Crime Drama
Michael Polish,Peter Coyote,Anthony Edwards,English,USA,Drama Fantasy,northfork,Michael Polish Peter Coyote Anthony Edwards Drama Fantasy northfork,northfork English Drama Fantasy
William Kaufman,Paul McGillion,Mike 'The Miz' Mizanin,English,USA,Action Thriller,the marine 4: moving target,William Kaufman Paul McGillion Mike 'The Miz' Mizanin Action Thriller the marine 4: moving target,the marine 4: moving target English Action Thriller
Rodrigo Cortés,Ryan Reynolds,Samantha Mathis,English,Spain,Drama Mystery Thriller,buried,Rodrigo Cortés Ryan Reynolds Samantha Mathis Drama Mystery Thriller buried,buried English Drama Mystery Thriller
Richard Ayoade,Craig Roberts,Paddy Considine,English,UK,Comedy Drama Romance,submarine,Richard Ayoade Craig Roberts Paddy Considine Comedy Drama Romance submarine,submarine English Comedy Drama Romance
Jehane Noujaim,Khalid Abdalla,Ahmed Hassan,Arabic,Egypt,Documentary Drama History News,the square,Jehane Noujaim Khalid Abdalla Ahmed Hassan Documentary Drama History News the square,the square Arabic Documentary Drama History News
Pascal Arnold,Karl E. Landler,Lizzie Brocheré,French,France,Drama,one to another,Pascal Arnold Karl E. Landler Lizzie Brocheré Drama one to another,one to another French Drama
Kimberly Peirce,Chloë Grace Moretz,Judy Greer,English,USA,Drama Fantasy Horror,carrie,Kimberly Peirce Chloë Grace Moretz Judy Greer Drama Fantasy Horror carrie,carrie English Drama Fantasy Horror
Remo,Lauren Gottlieb,Remo,Hindi,India,Drama Musical,abcd (any body can dance),Remo Lauren Gottlieb Remo Drama Musical abcd (any body can dance),abcd (any body can dance) Hindi Drama Musical
Wes Craven,Johnny Depp,Lin Shaye,English,USA,Horror,a nightmare on elm street,Wes Craven Johnny Depp Lin Shaye Horror a nightmare on elm street,a nightmare on elm street English Horror
James Marsh,Paul McGill,Philippe Petit,English,UK,Biography Crime Documentary History Thriller,man on wire,James Marsh Paul McGill Philippe Petit Biography Crime Documentary History Thriller man on wire,man on wire English Biography Crime Documentary History Thriller
John Laing,Siobhan Marshall,Peter Feeney,English,New Zealand,Drama,abandoned,John Laing Siobhan Marshall Peter Feeney Drama abandoned,abandoned English Drama
Jamal Hill,Logan Browning,Adam Ratcliffe,English,USA,Drama,brotherly love,Jamal Hill Logan Browning Adam Ratcliffe Drama brotherly love,brotherly love English Drama
Daniel Stamm,Caleb Landry Jones,Ashley Bell,English,France,Drama Horror Thriller,the last exorcism,Daniel Stamm Caleb Landry Jones Ashley Bell Drama Horror Thriller the last exorcism,the last exorcism English Drama Horror Thriller
Sam Taylor-Johnson,Kristin Scott Thomas,Ophelia Lovibond,English,UK,Biography Drama Music,nowhere boy,Sam Taylor-Johnson Kristin Scott Thomas Ophelia Lovibond Biography Drama Music nowhere boy,nowhere boy English Biography Drama Music
Elia Kazan,Marlon Brando,Karl Malden,English,USA,Drama,a streetcar named desire,Elia Kazan Marlon Brando Karl Malden Drama a streetcar named desire,a streetcar named desire English Drama
Stanley Kubrick,George C. Scott,Slim Pickens,English,USA,Comedy,dr. strangelove or: how i learned to stop worrying and love the bomb,Stanley Kubrick George C. Scott Slim Pickens Comedy dr. strangelove or: how i learned to stop worrying and love the bomb,dr. strangelove or: how i learned to stop worrying and love the bomb English Comedy
Carlos Carrera,Damián Alcázar,Ana Claudia Talancón,Spanish,Mexico,Drama Romance,el crimen del padre amaro,Carlos Carrera Damián Alcázar Ana Claudia Talancón Drama Romance el crimen del padre amaro,el crimen del padre amaro Spanish Drama Romance
Benh Zeitlin,Quvenzhané Wallis,Gina Montana,English,USA,Drama Fantasy,beasts of the southern wild,Benh Zeitlin Quvenzhané Wallis Gina Montana Drama Fantasy beasts of the southern wild,beasts of the southern wild English Drama Fantasy
J. Lee Thompson,Roddy McDowall,Paul Williams,English,USA,Action Sci-Fi,battle for the planet of the apes,J. Lee Thompson Roddy McDowall Paul Williams Action Sci-Fi battle for the planet of the apes,battle for the planet of the apes English Action Sci-Fi
Maggie Greenwald,Aidan Quinn,David Patrick Kelly,English,USA,Drama Music,songcatcher,Maggie Greenwald Aidan Quinn David Patrick Kelly Drama Music songcatcher,songcatcher English Drama Music
Vera Farmiga,Donna Murphy,Bill Irwin,English,USA,Drama,higher ground,Vera Farmiga Donna Murphy Bill Irwin Drama higher ground,higher ground English Drama
Vijay Chandar,Hansika Motwani,T.R. Silambarasan,Tamil,India,Comedy Romance,vaalu,Vijay Chandar Hansika Motwani T.R. Silambarasan Comedy Romance vaalu,vaalu Tamil Comedy Romance
Morgan Spurlock,Quentin Tarantino,J.J. Abrams,English,USA,Comedy Documentary,the greatest movie ever sold,Morgan Spurlock Quentin Tarantino J.J. Abrams Comedy Documentary the greatest movie ever sold,the greatest movie ever sold English Comedy Documentary
Jonathan Wacks,Steve Buscemi,Gary Farmer,English,USA,Comedy Horror,ed and his dead mother,Jonathan Wacks Steve Buscemi Gary Farmer Comedy Horror ed and his dead mother,ed and his dead mother English Comedy Horror
Khyentse Norbu,Tshewang Dendup,Lhakpa Dorji,Dzongkha,Australia,Adventure Drama,travelers and magicians,Khyentse Norbu Tshewang Dendup Lhakpa Dorji Adventure Drama travelers and magicians,travelers and magicians Dzongkha Adventure Drama
Ted Post,Clint Eastwood,Bruce Dern,English,USA,Western,hang 'em high,Ted Post Clint Eastwood Bruce Dern Western hang 'em high,hang 'em high English Western
Richard Brooks,Humphrey Bogart,Jim Backus,English,USA,Crime Drama Film-Noir,deadline - u.s.a.,Richard Brooks Humphrey Bogart Jim Backus Crime Drama Film-Noir deadline - u.s.a.,deadline - u.s.a. English Crime Drama Film-Noir
Tony Krantz,George Newbern,Tom Cavanagh,English,USA,Horror Thriller,sublime,Tony Krantz George Newbern Tom Cavanagh Horror Thriller sublime,sublime English Horror Thriller
Mitchell Altieri,Kimberley Crossman,Luke Edwards,English,USA,Comedy Horror Thriller,a beginner's guide to snuff,Mitchell Altieri Kimberley Crossman Luke Edwards Comedy Horror Thriller a beginner's guide to snuff,a beginner's guide to snuff English Comedy Horror Thriller
W.D. Hogan,Tom Everett Scott,Keenan Tracey,English,Canada,Action Sci-Fi,independence daysaster,W.D. Hogan Tom Everett Scott Keenan Tracey Action Sci-Fi independence daysaster,independence daysaster English Action Sci-Fi
Corey Grant,Christian Keyes,Essence Atkins,English,USA,Comedy Drama,dysfunctional friends,Corey Grant Christian Keyes Essence Atkins Comedy Drama dysfunctional friends,dysfunctional friends English Comedy Drama
Tom Tykwer,Moritz Bleibtreu,Ludger Pistor,German,Germany,Crime Drama,run lola run,Tom Tykwer Moritz Bleibtreu Ludger Pistor Crime Drama run lola run,run lola run German Crime Drama
Lucky McKee,James Duval,Will Estes,English,USA,Drama Horror,may,Lucky McKee James Duval Will Estes Drama Horror may,may English Drama Horror
Richard Boddington,Natasha Henstridge,CJ Adams,English,Canada,Adventure Family,against the wild,Richard Boddington Natasha Henstridge CJ Adams Adventure Family against the wild,against the wild English Adventure Family
David Hunt,Matthew Alan,Chris Cleveland,English,USA,Horror,living dark: the story of ted the caver,David Hunt Matthew Alan Chris Cleveland Horror living dark: the story of ted the caver,living dark: the story of ted the caver English Horror
Patricia Riggen,America Ferrera,Eugenio Derbez,Spanish,Mexico,Adventure Drama,under the same moon,Patricia Riggen America Ferrera Eugenio Derbez Adventure Drama under the same moon,under the same moon Spanish Adventure Drama
J. Lee Thompson,Roddy McDowall,Gordon Jump,English,USA,Action Sci-Fi,conquest of the planet of the apes,J. Lee Thompson Roddy McDowall Gordon Jump Action Sci-Fi conquest of the planet of the apes,conquest of the planet of the apes English Action Sci-Fi
Todd Field,Tom Wilkinson,Sissy Spacek,English,USA,Crime Drama,in the bedroom,Todd Field Tom Wilkinson Sissy Spacek Crime Drama in the bedroom,in the bedroom English Crime Drama
Steven R. Monroe,Sarah Butler,Chad Lindberg,English,USA,Horror Thriller,i spit on your grave,Steven R. Monroe Sarah Butler Chad Lindberg Horror Thriller i spit on your grave,i spit on your grave English Horror Thriller
Mark Illsley,Ally Walker,Illeana Douglas,English,USA,Comedy Crime Romance,"happy, texas","Mark Illsley Ally Walker Illeana Douglas Comedy Crime Romance happy, texas","happy, texas English Comedy Crime Romance"
Pawel Pawlikowski,Paddy Considine,Natalie Press,English,UK,Drama Romance,my summer of love,Pawel Pawlikowski Paddy Considine Natalie Press Drama Romance my summer of love,my summer of love English Drama Romance
Ritesh Batra,Nawazuddin Siddiqui,Nimrat Kaur,Hindi,India,Drama Romance,the lunchbox,Ritesh Batra Nawazuddin Siddiqui Nimrat Kaur Drama Romance the lunchbox,the lunchbox Hindi Drama Romance
Sally Potter,Shirley Henderson,Joan Allen,English,UK,Drama Romance,yes,Sally Potter Shirley Henderson Joan Allen Drama Romance yes,yes English Drama Romance
Frank Capra,Jean Arthur,Ann Miller,English,USA,Comedy Drama Romance,you can't take it with you,Frank Capra Jean Arthur Ann Miller Comedy Drama Romance you can't take it with you,you can't take it with you English Comedy Drama Romance
Fred Zinnemann,Montgomery Clift,Donna Reed,English,USA,Drama Romance War,from here to eternity,Fred Zinnemann Montgomery Clift Donna Reed Drama Romance War from here to eternity,from here to eternity English Drama Romance War
John Ford,Harry Carey Jr.,Ben Johnson,English,USA,Western,she wore a yellow ribbon,John Ford Harry Carey Jr. Ben Johnson Western she wore a yellow ribbon,she wore a yellow ribbon English Western
Brad J. Silverman,Shawnee Smith,Michael Welch,English,USA,Drama Music,grace unplugged,Brad J. Silverman Shawnee Smith Michael Welch Drama Music grace unplugged,grace unplugged English Drama Music
Dave Meyers,Eddie Griffin,Clifton Powell,English,USA,Comedy Drama,foolish,Dave Meyers Eddie Griffin Clifton Powell Comedy Drama foolish,foolish English Comedy Drama
David M. Matthews,Essence Atkins,Lamman Rucker,English,USA,Crime Drama Thriller,n-secure,David M. Matthews Essence Atkins Lamman Rucker Crime Drama Thriller n-secure,n-secure English Crime Drama Thriller
Nadine Labaki,Yasmine Al Massri,Adel Karam,Arabic,France,Comedy Drama Romance,caramel,Nadine Labaki Yasmine Al Massri Adel Karam Comedy Drama Romance caramel,caramel Arabic Comedy Drama Romance
Lluís Quílez,Stephen Rea,Pixie Davies,English,USA,Horror Thriller,out of the dark,Lluís Quílez Stephen Rea Pixie Davies Horror Thriller out of the dark,out of the dark English Horror Thriller
Eytan Fox,Ohad Knoller,Lior Ashkenazi,Hebrew,Israel,Comedy Drama Romance,the bubble,Eytan Fox Ohad Knoller Lior Ashkenazi Comedy Drama Romance the bubble,the bubble Hebrew Comedy Drama Romance
Francis Ford Coppola,Harrison Ford,Teri Garr,English,USA,Drama Mystery Thriller,the conversation,Francis Ford Coppola Harrison Ford Teri Garr Drama Mystery Thriller the conversation,the conversation English Drama Mystery Thriller
Romesh Sharma,Annabelle Wallis,Revathy,English,India,Romance,dil jo bhi kahey...,Romesh Sharma Annabelle Wallis Revathy Romance dil jo bhi kahey...,dil jo bhi kahey... English Romance
François Truffaut,Catherine Deneuve,Jean-Paul Belmondo,French,France,Crime Drama Romance,mississippi mermaid,François Truffaut Catherine Deneuve Jean-Paul Belmondo Crime Drama Romance mississippi mermaid,mississippi mermaid French Crime Drama Romance
Adam Goldberg,Judy Greer,Marisa Coughlan,English,USA,Drama Mystery,i love your work,Adam Goldberg Judy Greer Marisa Coughlan Drama Mystery i love your work,i love your work English Drama Mystery
Travis Zariwny,Dustin Ingram,Gage Golightly,English,USA,Horror,cabin fever,Travis Zariwny Dustin Ingram Gage Golightly Horror cabin fever,cabin fever English Horror
Zack Snyder,Ty Burrell,Kevin Zegers,English,USA,Action Horror Thriller,dawn of the dead,Zack Snyder Ty Burrell Kevin Zegers Action Horror Thriller dawn of the dead,dawn of the dead English Action Horror Thriller
Adrienne Shelly,Lew Temple,Cheryl Hines,English,USA,Comedy Drama Romance,waitress,Adrienne Shelly Lew Temple Cheryl Hines Comedy Drama Romance waitress,waitress English Comedy Drama Romance
Newt Arnold,Bolo Yeung,Donald Gibb,English,USA,Action Biography Drama Sport,bloodsport,Newt Arnold Bolo Yeung Donald Gibb Action Biography Drama Sport bloodsport,bloodsport English Action Biography Drama Sport
Frank Capra,Claude Rains,Jean Arthur,English,USA,Comedy Drama,mr. smith goes to washington,Frank Capra Claude Rains Jean Arthur Comedy Drama mr. smith goes to washington,mr. smith goes to washington English Comedy Drama
Larry Clark,Rosario Dawson,Leo Fitzpatrick,English,USA,Drama,kids,Larry Clark Rosario Dawson Leo Fitzpatrick Drama kids,kids English Drama
Noah Baumbach,William Baldwin,Elizabeth Meriwether,English,USA,Comedy Drama,the squid and the whale,Noah Baumbach William Baldwin Elizabeth Meriwether Comedy Drama the squid and the whale,the squid and the whale English Comedy Drama
Charles Herman-Wurmfeld,Scott Cohen,Jennifer Westfeldt,English,USA,Comedy Drama Romance,kissing jessica stein,Charles Herman-Wurmfeld Scott Cohen Jennifer Westfeldt Comedy Drama Romance kissing jessica stein,kissing jessica stein English Comedy Drama Romance
Yimou Zhang,Honglei Sun,Ni Yan,Mandarin,China,Comedy Drama,"a woman, a gun and a noodle shop","Yimou Zhang Honglei Sun Ni Yan Comedy Drama a woman, a gun and a noodle shop","a woman, a gun and a noodle shop Mandarin Comedy Drama"
John Stockwell,Matthew Ziff,T.J. Storm,unknown,USA,Action,kickboxer: vengeance,John Stockwell Matthew Ziff T.J. Storm Action kickboxer: vengeance,kickboxer: vengeance unknown Action
Alfred Hitchcock,Norman Lloyd,Rhonda Fleming,English,USA,Film-Noir Mystery Romance Thriller,spellbound,Alfred Hitchcock Norman Lloyd Rhonda Fleming Film-Noir Mystery Romance Thriller spellbound,spellbound English Film-Noir Mystery Romance Thriller
Atom Egoyan,Bruce Greenwood,Mia Kirshner,English,Canada,Drama Mystery Romance,exotica,Atom Egoyan Bruce Greenwood Mia Kirshner Drama Mystery Romance exotica,exotica English Drama Mystery Romance
Vincent Gallo,Anjelica Huston,Vincent Gallo,English,USA,Comedy Crime Drama Romance,buffalo '66,Vincent Gallo Anjelica Huston Vincent Gallo Comedy Crime Drama Romance buffalo '66,buffalo '66 English Comedy Crime Drama Romance
James Wan,Lin Shaye,Barbara Hershey,English,USA,Fantasy Horror Mystery Thriller,insidious,James Wan Lin Shaye Barbara Hershey Fantasy Horror Mystery Thriller insidious,insidious English Fantasy Horror Mystery Thriller
Alex Cox,Del Zamora,Tracey Walter,English,USA,Comedy Crime Sci-Fi Thriller,repo man,Alex Cox Del Zamora Tracey Walter Comedy Crime Sci-Fi Thriller repo man,repo man English Comedy Crime Sci-Fi Thriller
Fabián Bielinsky,Ricardo Darín,Gastón Pauls,Spanish,Argentina,Crime Drama Thriller,nine queens,Fabián Bielinsky Ricardo Darín Gastón Pauls Crime Drama Thriller nine queens,nine queens Spanish Crime Drama Thriller
Dror Moreh,Ami Ayalon,Yuval Diskin,Hebrew,Israel,Documentary War,the gatekeepers,Dror Moreh Ami Ayalon Yuval Diskin Documentary War the gatekeepers,the gatekeepers Hebrew Documentary War
Rebecca Miller,Beau Bridges,Susanna Thompson,English,USA,Drama,the ballad of jack and rose,Rebecca Miller Beau Bridges Susanna Thompson Drama the ballad of jack and rose,the ballad of jack and rose English Drama
Maggie Carey,Donald Glover,Alia Shawkat,English,USA,Comedy Romance,the to do list,Maggie Carey Donald Glover Alia Shawkat Comedy Romance the to do list,the to do list English Comedy Romance
Roger Avary,Eric Stoltz,Salvator Xuereb,English,France,Crime Drama Thriller,killing zoe,Roger Avary Eric Stoltz Salvator Xuereb Crime Drama Thriller killing zoe,killing zoe English Crime Drama Thriller
Henry Bean,Ryan Gosling,Theresa Russell,English,USA,Drama,the believer,Henry Bean Ryan Gosling Theresa Russell Drama the believer,the believer English Drama
David Gordon Green,Michael Angarano,Connor Paolo,English,USA,Drama Romance,snow angels,David Gordon Green Michael Angarano Connor Paolo Drama Romance snow angels,snow angels English Drama Romance
Simeon Rice,Ward G. Smith,Lisa Brave,English,USA,Action Horror Thriller,unsullied,Simeon Rice Ward G. Smith Lisa Brave Action Horror Thriller unsullied,unsullied English Action Horror Thriller
Brad Anderson,Paul Guilfoyle,Brendan Sexton III,English,USA,Horror Mystery,session 9,Brad Anderson Paul Guilfoyle Brendan Sexton III Horror Mystery session 9,session 9 English Horror Mystery
Jeff Garlin,Jessy Schram,Jeff Garlin,English,USA,Comedy Romance,i want someone to eat cheese with,Jeff Garlin Jessy Schram Jeff Garlin Comedy Romance i want someone to eat cheese with,i want someone to eat cheese with English Comedy Romance
